loss,accuracy,top3_accuracy,precision,recall,val_loss,val_accuracy,val_top3_accuracy,val_precision,val_recall,lr,epoch
3.2047665119171143,0.22915229201316833,0.44428160786628723,0.47532883286476135,0.0981321856379509,2.101935863494873,0.4841379225254059,0.7390804886817932,0.8257659673690796,0.25712645053863525,9.999999747378752e-06,1
2.234083890914917,0.44757184386253357,0.7087787389755249,0.70696622133255,0.2789367735385895,1.6353919506072998,0.6479310393333435,0.8651723861694336,0.8812867999076843,0.44712644815444946,9.999999747378752e-06,2
1.8764402866363525,0.5620402097702026,0.808864951133728,0.7797780632972717,0.4007902443408966,1.421290397644043,0.7268965244293213,0.9117241501808167,0.9003669619560242,0.5640230178833008,9.999999747378752e-06,3
1.696808934211731,0.6265948414802551,0.8539942502975464,0.8177657723426819,0.4698275923728943,1.318287968635559,0.7751724123954773,0.9283908009529114,0.92261803150177,0.6221839189529419,9.999999747378752e-06,4
1.5600450038909912,0.6700143814086914,0.8841235637664795,0.844433605670929,0.5230028629302979,1.1970611810684204,0.8174712657928467,0.9502298831939697,0.937432050704956,0.6940230131149292,9.999999747378752e-06,5
1.470745325088501,0.7038936614990234,0.9005459547042847,0.8617348670959473,0.559669554233551,1.1589492559432983,0.8337931036949158,0.9543678164482117,0.9379050731658936,0.7152873277664185,9.999999747378752e-06,6
1.3983676433563232,0.7273994088172913,0.9156752824783325,0.8741320967674255,0.5915086269378662,1.0956615209579468,0.8486207127571106,0.9643678069114685,0.9482733011245728,0.7417241334915161,9.999999747378752e-06,7
1.3379300832748413,0.7513505816459656,0.9253304600715637,0.886504054069519,0.6225143671035767,1.0400298833847046,0.8736781477928162,0.9716091752052307,0.9532591700553894,0.7782758474349976,9.999999747378752e-06,8
1.2920416593551636,0.767744243144989,0.9340948462486267,0.896094024181366,0.6430890560150146,1.018143892288208,0.8857471346855164,0.9708045721054077,0.9535905718803406,0.798275887966156,9.999999747378752e-06,9
1.25228750705719,0.7844827771186829,0.9404454231262207,0.9031546115875244,0.6643247008323669,0.9791179299354553,0.8943678140640259,0.9759770035743713,0.9625170826911926,0.8087356090545654,9.999999747378752e-06,10
1.2125089168548584,0.7997270226478577,0.9465086460113525,0.909766674041748,0.6822988390922546,0.9569848775863647,0.907471239566803,0.979540228843689,0.9680395722389221,0.8320689797401428,9.999999747378752e-06,11
1.1794794797897339,0.8107902407646179,0.9510632157325745,0.9131637215614319,0.7022700905799866,0.9285991191864014,0.913908064365387,0.981149435043335,0.9684666991233826,0.8472414016723633,9.999999747378752e-06,12
1.1513537168502808,0.822672426700592,0.9549856185913086,0.9168263077735901,0.715229868888855,0.9111834168434143,0.9128735661506653,0.9833333492279053,0.9596233367919922,0.8550574779510498,9.999999747378752e-06,13
1.119235634803772,0.8318821787834167,0.9603879451751709,0.9219926595687866,0.7302154898643494,0.8807646632194519,0.9250574707984924,0.9858620762825012,0.9708232879638672,0.8796551823616028,9.999999747378752e-06,14
1.0925712585449219,0.8426005840301514,0.963204026222229,0.9275344014167786,0.7481178045272827,0.8741312026977539,0.930344820022583,0.9842528700828552,0.9740867018699646,0.8857471346855164,9.999999747378752e-06,15
